"","No","H_P","D1_P","D2_P","W_m_P","W_s_P","W_a_P","L_b_P","L_v_P","W_d_P","W_ia_P","W_r_P","W_L","W_P","W_m_L","S","FE","P","W_c_P","D12_P","H_A_L"
"11",11,0.219026204981939,0.391246666,0.66113295,0.766238283252653,0.032879369035038,0.200882347717598,0.204161213161842,0.719257567137562,5.23590917620233e-14,5.23590917620233e-14,5.23590917620233e-14,5814.996553,1.00000000000005,2836.63906,0.000356784,3.966303,1.92341877977587,1,0.269886284,3
"12",12,0.172046396679623,1.0048258,1.393714689,0.98403367442256,4.00291263932391e-14,0.0159663254013524,0.240056814379857,1.24591420255125,4.00291263932391e-14,4.00291263932391e-14,4.00291263932391e-14,7092.479844,1.00000000000004,6805.5796,0.000683471,5.62640175,2.48597101669097,1,0.388888889,3
"13",13,0.219504447235798,0.819911067,1.824851779,1.00000000000005,5.37763557435541e-14,5.37763557435541e-14,0.0602204502872406,0.21043262409219,5.37763557435541e-14,5.37763557435541e-14,5.37763557435541e-14,2807.178533,1.00000000000005,2807.178533,0.000144528,5.1680314,1.27065307454081,1,1.004940712,3
"14",14,0.217536312740104,1.210005903,2.208659238,0.999999999637787,5.93791062607964e-14,5.93791062607964e-14,0.078724775555679,0.694822999174183,0.00297143284093154,5.93791062607964e-14,5.93791062607964e-14,3648.543465,1.00297143284093,3548.141175,0.00038385,7.44054675,1.77651920715514,1,0.998653335,2
"15",15,0.241179655173288,0.281580805,0.683697953,1.00000000047953,7.61152468746217e-14,7.61152468746217e-14,0.0489255401568904,0.7706600934982,0.0100189689823183,7.61152468746217e-14,7.61152468746217e-14,2335.774273,1.01001896898232,2094.896373,0.0000412,6.789803,1.82960460354318,1,0.402117148,2
"16",16,0.245181153432157,0.41830155,0.894635753,1.00000000000007,7.44469428003044e-14,7.44469428003044e-14,0.0101927650595354,0.14613216719266,7.44469428003044e-14,7.44469428003044e-14,7.44469428003044e-14,2097.137183,1.00000000000007,2097.137183,0.0000693,6.5600536,1.15632493226716,1,0.476334203,2
"17",17,0.203630511199699,0.375743668,0.908890022,0.81487578417126,5.94990145933107e-14,0.185124215679992,0.061943736343986,0.930340980827705,0.00137563164590838,5.94990145933107e-14,5.94990145933107e-14,4036.991568,1.00137563164591,2317.533365,0.000208819,9.1907295,1.9936603487581,1,0.533146354,2
"18",18,0.135405320676697,0.39195264,0.980688869,0.909962985435676,6.21497892235072e-14,0.0900370148067086,0.0869444072990122,0.252295795406448,0.0354160552697078,6.21497892235072e-14,6.21497892235072e-14,4100.775374,1.03541605526971,2537.589326,0.000504999,5.53585625,1.37465625778872,1,0.588736229,1
"19",19,0.196384657831314,0.693899494,1.229844179,1.00000000033555,7.29446788231127e-14,7.29446788231127e-14,0.0689640071761045,0.35939586082388,0.0320062295709248,7.29446788231127e-14,7.29446788231127e-14,3211.027069,1.03200622957092,2951.893837,0.000438853,6.7373145,1.46036609756361,1,0.535944685,1
"20",20,0.168333949966169,0.477969231,0.812967033,0.989745754341013,6.52996122279628e-14,0.0102542458875356,0.150114330730469,1.47743925291169,0.29962212242128,6.52996122279628e-14,6.52996122279628e-14,5332.057984,1.29962212242128,3197.092281,0.000636371,8.212352,2.92717570625934,1,0.334997802,1
"21",21,0.168951839091532,0.549627922,0.953280579,0.878158977153325,0.0982642611912475,0.0235767618279671,0.0316626305347414,1.49965375603174,0.00726408341383488,5.94965944134573e-14,5.94965944134573e-14,3335.625339,1.00726408341383,2166.9793,0.000385042,6.8180402,2.53858046992082,1,0.403652657,1
"22",22,0.189564911110912,0.853796376,1.244724516,0.579637957282068,0.231952884049861,0.179633402534825,0.0151033638380092,1.20775995918115,0.011551219658298,0.00877575600773996,4.04859655952027e-14,6689.501271,1.0115512196583,1911.839433,0.000704126,6.139749143,2.23441454239405,1,0.39092814,3
"23",23,0.206032159968713,0.66604119,1.050806636,0.642635513992063,0.341422785982209,0.0159417001771985,0.109432757484204,2.26224865564809,5.04733556339248e-14,5.04733556339248e-14,5.04733556339248e-14,6166.187104,1.00000000000005,3100.411252,0.00053787,8.1794846,3.37168141333424,1,0.384765446,3
"24",24,0.2326933707036,0.535991872,1.081584963,0.769904960539831,0.212447142132901,0.0176478973114441,0.0704477901103649,1.7128236450417,5.29238565439219e-14,5.29238565439219e-14,5.29238565439219e-14,4086.031826,1.00000000000005,2174.470312,0.000204087,6.3664996,2.78327143515212,1,0.545593091,3
"25",25,0.212194544312052,0.293905541,0.519091465,0.614202488020254,3.58242642864895e-14,0.385797511979782,0.0500453618656421,0.461004038773836,3.58242642864895e-14,3.58242642864895e-14,3.58242642864895e-14,5527.47971,1.00000000000004,2104.105765,0.000079,7.397607333,1.51104940071116,1,0.225185924,3
"26",26,0.239757341838301,0.223439667,0.417715294,0.941541703658796,6.42820766412835e-14,0.0584582960840756,0.180178097440897,0.493607475911224,0.0136126498945779,6.42820766412835e-14,6.42820766412835e-14,2893.994632,1.01361264989458,1970.208645,0.0000701,8.1838415,1.68739822311814,1,0.194275627,2
"27",27,0.145680913559401,0.490556053,0.950777497,0.794209160011736,5.32182641319352e-14,0.205790839972299,0.169062824257415,0.855423726438076,0.0369476491247569,5.32182641319352e-14,5.32182641319352e-14,4944.107955,1.03694764912476,1850.457321,0.00038868,8.689857167,2.06143420072496,1,0.460221444,1
"28",28,0.154790595937111,0.454417646,0.89247364,0.70569685997479,3.90346221815603e-14,0.294303139783196,0.0499779221441663,1.88278073265373,0.0163378273203615,3.90346221815603e-14,3.90346221815603e-14,4778.533098,1.01633782732036,2183.832902,0.000275475,10.2432085,2.94909648188405,1,0.438055994,3
"29",29,0.154489213446953,0.623721082,1.172238514,0.722666991889705,4.18663278652818e-14,0.27733300825264,0.118799677050663,0.729856601756109,0.00142054252373652,4.18663278652818e-14,4.18663278652818e-14,5456.112427,1.00142054252374,1941.222521,0.00108648,7.752864167,1.85007682145611,1,0.548517432,2
"30",30,0.138658709015248,0.614050954,0.902401478,0.79630771301991,4.40437853718681e-14,0.203692286984495,0.0613074615707019,2.11355429305661,0.0339644042928895,4.40437853718681e-14,4.40437853718681e-14,4924.465715,1.03396440429289,2024.91183,0.000580139,8.109455429,3.20884375031638,1,0.288350524,2
"31",31,0.203552295535644,0.286300635,0.67228364,1.00000000029196,5.83915584344656e-14,5.83915584344656e-14,0.0124167356149566,1.70786942662235,0.556385490606185,5.83915584344656e-14,5.83915584344656e-14,6180.031325,1.55638549060618,2029.373231,0.000235459,8.184205167,3.27667165323471,1,0.385983005,2
"32",32,0.217391626506089,0.272739388,0.73346186,0.953682286425705,6.60754960288547e-14,6.60754960288547e-14,0.104167593038238,1.84418720027802,0.0508279680467427,0.0463177136866235,6.60754960288547e-14,3107.495783,1.05082796804674,2074.425191,0.000174616,8.7377115,2.99918276228806,1,0.460722472,2
"33",33,0.202655733409329,0.65444621,2.215555463,0.835196661720779,5.01509278884833e-14,5.01509278884833e-14,0.00910593436315912,0.572948376455841,5.01509278884833e-14,0.164803338028517,5.01509278884833e-14,3341.691851,1.00000000000005,1984.782652,0.000149084,9.883402167,1.58205431102467,1,1.561109253,3
"34",34,0.186895662682511,2.001697241,3.458525928,0.987573910374305,4.60503464062498e-14,0.0124260895889003,0.0517587991994586,0.343159597433874,4.60503464062498e-14,4.60503464062498e-14,0.0830476635015573,3265.183805,1.00000000000005,2860.882067,0.00068954,6.832223333,1.47796606119409,1,1.456828687,3
"35",35,0.251401075600221,1.174048209,2.449065105,1.00000000000005,4.77451987554679e-14,4.77451987554679e-14,4.77451987554679e-14,0.694982440924944,4.77451987554679e-14,4.77451987554679e-14,0.00239567426990539,3837.899742,1.00000000000005,3837.899742,0.000416097,9.177387833,1.69737811499914,1,1.275016896,3
"36",36,0.355967805712196,0.621259317,1.479057737,0.999999999772746,5.41081108230068e-14,5.41081108230068e-14,0.0201141825994435,0.360723685836338,0.00811350774416916,5.41081108230068e-14,0.038680853268867,2369.756041,1.00811350774417,2202.531691,0.000139652,10.674758,1.42763223650993,1,0.85779842,3
"37",37,0.263315987422881,0.754173486,1.361387385,0.990825549345651,5.32808702306864e-14,5.32808702306864e-14,0.0741937314117844,1.26864937256248,0.0195456535112032,0.00917445054245967,5.32808702306864e-14,3039.092873,1.0195456535112,2544.950112,0.000582448,8.56836125,2.36238875721907,1,0.607213899,3
"38",38,0.287127166279239,0.619725929,1.144248107,1.00000000000007,7.38562744918955e-14,7.38562744918955e-14,0.07657573164816,1.31524103848599,7.38562744918955e-14,7.38562744918955e-14,7.38562744918955e-14,2192.593476,1.00000000000007,2192.593476,0.0000533,10.003633,2.39181676969109,1,0.524522178,3
"39",39,0.235281847265083,0.637300677,1.752976719,1.00000000000006,5.95915748280234e-14,5.95915748280234e-14,0.0811531805441516,0.0527589777334009,5.95915748280234e-14,5.95915748280234e-14,5.95915748280234e-14,2032.260827,1.00000000000006,2032.260827,0.000274813,9.227475833,1.13391215845639,1,1.115676042,3
"40",40,0.186966616382903,1.635756677,4.53227003,0.982789416420147,5.36028441742047e-14,0.0172105835209432,0.0442106565424912,0.285348614853127,5.36028441742047e-14,5.36028441742047e-14,5.36028441742047e-14,2217.559623,1.00000000000005,2033.051649,0.000301292,8.416676167,1.32955927142783,1,2.896513353,2
"41",41,0.239833382719896,2.045073529,4.373382353,0.990877347152852,0.00912265276519522,5.12524826471984e-14,0.0380479409890169,0.125526821193988,5.12524826471984e-14,5.12524826471984e-14,5.12524826471984e-14,3096.449334,1.00000000000005,2760.415564,0.000328047,9.1950734,1.16357476207543,1,2.328308824,3
"42",42,0.152959675712771,1.766185897,2.930769231,0.937486780879723,0.0131239535071952,0.0493892658915525,0.0517535675566583,0.600509614393101,4.4907337443233e-14,4.4907337443233e-14,4.4907337443233e-14,4942.093364,1.00000000000004,3096.065615,0.000826636,8.856017833,1.65226318230906,1,1.164583334,2
"43",43,0.231951201759774,0.49031339,1.291452991,0.987307491342209,5.63038377285804e-14,5.63038377285804e-14,0.0776272433686536,0.628092789688724,0.0093174142926219,0.0126925084719879,5.63038377285804e-14,2594.026884,1.00931741429262,2108.973673,0.0000825,11.9873015,1.71503744746261,1,0.801139601,3
