"","No","H_A","D1_A","D2_A","D1_P","D2_P","W_m_A","W_s_A","W_a_A","L_b_A","L_v_A","W_d_A","W_ia_A","W_r_A","W_L","W_A","W_m_L","S","FE","A","W_c_A","D12_P","H_A_L"
"35",35,52654.73433,78174,163071,1.174048209,2.449065105,209445.1434,0.00000001,0.00000001,0.00000001,145560.697,0.00000001,0.00000001,501.762341,3837.899742,209445.1434,3837.899742,0.000416097,9.177387833,355507.6027,209445.14339999,1.275016896,3
"36",36,65788.2525,44676,106362,0.621259317,1.479057737,184815.1755,0.00000001,0.00000001,3717.406188,66667.21132,1499.499358,0.00000001,7148.808687,2369.756041,186314.6749,2202.531691,0.000139652,10.674758,263848.1024,184815.175542,0.85779842,3
"37",37,49420.36162,59904,108135,0.754173486,1.361387385,185962.7189,0.00000001,0.00000001,13925.02245,238105.9782,3668.418595,1721.903284,0.00000001,3039.092873,191353.0408,2544.950112,0.000582448,8.56836125,443384.0414,187684.622205,0.607213899,3
"38",38,38876.47573,30933,57114,0.619725929,1.144248107,135398.1103,0.00000001,0.00000001,10368.20936,178081.1512,0.00000001,0.00000001,0.00000001,2192.593476,135398.1103,2192.593476,0.0000533,10.003633,323847.4708,135398.11029999,0.524522178,3
"39",39,39482.40132,39447,108504,0.637300677,1.752976719,167808.9567,0.00000001,0.00000001,13618.23056,8853.42901,0.00000001,0.00000001,0.00000001,2032.260827,167808.9567,2032.260827,0.000274813,9.227475833,190280.6163,167808.95669999,1.115676042,3
"40",40,34879.98058,52920,146628,1.635756677,4.53227003,183346.5055,0.00000001,3210.759389,8247.819164,53233.85713,0.00000001,0.00000001,0.00000001,2217.559623,186557.2649,2033.051649,0.000301292,8.416676167,248038.9412,186557.26489999,2.896513353,2
"41",41,46794.49079,83439,178434,2.045073529,4.373382353,193332.556,1779.943584,0.00000001,7423.628871,24491.85185,0.00000001,0.00000001,0.00000001,3096.449334,195112.4996,2760.415564,0.000328047,9.1950734,227027.9803,195112.49959999,2.328308824,3
"42",42,34061.17673,99189,164592,1.766185897,2.930769231,208760.2682,2922.451932,10998.03923,11524.52372,133721.9369,0.00000001,0.00000001,0.00000001,4942.093364,222680.7593,3096.065615,0.000826636,8.856017833,367927.22,222680.75929999,1.164583334,2
"43",43,41196.33956,30978,81594,0.49031339,1.291452991,175353.4983,0.00000001,0.00000001,13787.20288,111554.1702,1654.84533,2254.288337,0.00000001,2594.026884,179262.632,2108.973673,0.0000825,11.9873015,304604.0051,177607.78667,0.801139601,3
"44",44,58148.99709,33462,79290,0.199913969,0.47370685,163523.5314,0.00000001,140672.6997,18981.48261,172998.771,7334.912291,0.00000001,0.00000001,5881.801,311531.1435,1690.171852,0.0000401,7.9044358,503511.3971,304196.231209,0.273792881,3
